transaction_id,order_no,transaction_date,customer_no,customer_name,item_no,item_description,quantity,uom,unit_cost,unit_sell_price,sales_rep,special_pricing
1,SO1001,2026-01-05,CUST-A,Northstar Beverage,RING12,12oz Ringneck,100000,EA,0.9800,1.3000,Rep A,false
2,SO1010,2026-02-05,CUST-A,Northstar Beverage,RING12,12oz Ringneck,100000,EA,0.9900,1.3100,Rep A,false
3,SO1022,2026-03-05,CUST-A,Northstar Beverage,RING12,12oz Ringneck,100000,EA,1.0000,1.3200,Rep A,false
4,SO1040,2026-04-05,CUST-A,Northstar Beverage,RING12,12oz Ringneck,100000,EA,1.0000,1.3200,Rep A,false
5,SO1055,2026-05-05,CUST-A,Northstar Beverage,RING12,12oz Ringneck,100000,EA,1.0100,1.3300,Rep A,false
6,SO1077,2026-06-05,CUST-A,Northstar Beverage,RING12,12oz Ringneck,100000,EA,1.0900,1.3300,Rep A,false
7,SO2001,2026-01-10,CUST-GIO,Giovanni Foods,RING12,12oz Ringneck,90000,EA,1.0000,1.2500,Rep B,true
8,SO2010,2026-02-10,CUST-GIO,Giovanni Foods,RING12,12oz Ringneck,90000,EA,1.0100,1.2500,Rep B,true
9,SO2020,2026-03-10,CUST-GIO,Giovanni Foods,RING12,12oz Ringneck,90000,EA,1.0200,1.2500,Rep B,true
10,SO2030,2026-04-10,CUST-GIO,Giovanni Foods,RING12,12oz Ringneck,90000,EA,1.0300,1.2500,Rep B,true
11,SO2040,2026-05-10,CUST-GIO,Giovanni Foods,RING12,12oz Ringneck,90000,EA,1.0400,1.2500,Rep B,true
12,SO2050,2026-06-10,CUST-GIO,Giovanni Foods,RING12,12oz Ringneck,90000,EA,1.1200,1.2500,Rep B,true
13,SO3001,2026-01-12,CUST-B,Ball Example,CDL12,12oz CDL,80000,EA,0.9000,1.2000,Rep C,false
14,SO3010,2026-02-12,CUST-B,Ball Example,CDL12,12oz CDL,80000,EA,0.9100,1.2100,Rep C,false
15,SO3020,2026-03-12,CUST-B,Ball Example,CDL12,12oz CDL,80000,EA,0.9200,1.2200,Rep C,false
16,SO3030,2026-04-12,CUST-B,Ball Example,CDL12,12oz CDL,80000,EA,0.9200,1.2200,Rep C,false
17,SO3040,2026-05-12,CUST-B,Ball Example,CDL12,12oz CDL,80000,EA,0.9300,1.2300,Rep C,false
18,SO3050,2026-06-12,CUST-B,Ball Example,B64-12,12oz B64,80000,EA,0.9400,1.2300,Rep C,false
